"EmployeeID","LastName","FirstName","BirthDate","Address","Phone","Position","Status","Supervisor","SSS","PhilHealth","TIN","PagIbig","BasicSalary","RiceSubsidy","PhoneAllowance","ClothingAllowance","GrossSemiMonthly","HourlyRate"
"10001","Garcia","Manuel III","10/11/1983","Valero Carpark Building Valero Street 1227, Makati City","966-860-270","Chief Executive Officer","Regular","N/A","44-4506057-3","820126853951","442-605-657-000","691295330870","90000.0","1500.0","2000.0","1000.0","45000.0","511.36"
"10002","Lim","Antonio","06/19/1988","San Antonio De Padua 2, Block 1 Lot 8 and 2, Dasmarinas, Cavite","171-867-411","Chief Operating Officer","Regular","Garcia, Manuel III","52-2061274-9","331735646338","683-102-776-000","663904995411","60000.0","1500.0","2000.0","1000.0","30000.0","357.14"
"10003","Aquino","Bianca Sofia","08/04/1989","Rm. 402 4/F Jiao Building Timog Avenue Cor. Quezon Avenue 1100, Quezon City","966-889-370","Chief Finance Officer","Regular","Garcia, Manuel III","30-8870406-2","177451189665","971-711-280-000","171519773969","60000.0","1500.0","2000.0","1000.0","30000.0","357.14"
"10004","Reyes","Isabella","06/16/1994","460 Solanda Street Intramuros 1000, Manila","786-868-477","Chief Marketing Officer","Regular","Garcia, Manuel III","40-2511815-0","341911411254","876-809-437-000","416946776041","60000.0","1500.0","2000.0","1000.0","30000.0","357.14"
"10005","Hernandez","Eduard","09/23/1989","National Highway, Gingoog,  Misamis Occidental","088-861-012","IT Operations and Systems","Regular","Lim, Antonio","50-5577638-1","957436191812","031-702-374-000","952347222457","52670.0","1500.0","1000.0","1000.0","26335.0","313.51"
"10006","Villanueva","Andrea Mae","02/14/1988","17/85 Stracke Via Suite 042, Poblacion, Las Piñas 4783 Dinagat Islands","918-621-603","HR Manager","Regular","Lim, Antonio","49-1632020-8","382189453145","317-674-022-000","441093369646","52670.0","1500.0","1000.0","1000.0","26335.0","313.51"
"10007","San Jose","Brad","03/15/1996","99 Strosin Hills, Poblacion, Bislig 5340 Tawi-Tawi","797-009-261","HR Team Leader","Regular","Villanueva, Andrea Mae","40-2400714-1","239192926939","672-474-690-000","210850209964","42975.0","1500.0","800.0","800.0","21488.0","255.80"
"10008","Romualdez","Alice","05/14/1992","12A/33 Upton Isle Apt. 420, Roxas City 1814 Surigao del Norte","983-606-799","HR Rank and File","Regular","San, Jose Brad","55-4476527-2","545652640232","888-572-294-000","211385556888","22500.0","1500.0","500.0","500.0","11250.0","133.93"
"10009","Atienza","Rosie","09/24/1948","90A Dibbert Terrace Apt. 190, San Lorenzo 6056 Davao del Norte","266-036-427","HR Rank and File","Regular","San, Jose Brad","41-0644692-3","708988234853","604-997-793-000","260107732354","22500.0","1500.0","500.0","500.0","11250.0","133.93"
"10010","Alvaro","Roderick","03/30/1988","#284 T. Morato corner, Scout Rallos Street, Quezon City","053-381-386","Accounting Head","Regular","Aquino, Bianca Sofia","64-7605054-4","578114853194","525-420-419-000","799254095212","52670.0","1500.0","1000.0","1000.0","26335.0","313.51"
"10011","Salcedo","Anthony","09/14/1993","93/54 Shanahan Alley Apt. 183, Santo Tomas 1572 Masbate","070-766-300","Payroll Manager","Regular","Alvaro, Roderick","26-9647608-3","126445315651","210-805-911-000","218002473454","50825.0","1500.0","1000.0","1000.0","25413.0","302.53"
"10012","Lopez","Josie","01/14/1987","49 Springs Apt. 266, Poblacion, Taguig 3200 Occidental Mindoro","478-355-427","Payroll Team Leader","Regular","Salcedo, Anthony","44-8563448-3","431709011012","218-489-737-000","113071293354","38475.0","1500.0","800.0","800.0","19238.0","229.02"
"10013","Farala","Martha","01/11/1942","42/25 Sawayn Stream, Ubay 1208 Zamboanga del Norte","329-034-366","Payroll Rank and File","Regular","Salcedo, Anthony","45-5656375-0","233693897247","210-835-851-000","631130283546","24000.0","1500.0","500.0","500.0","12000.0","142.86"
"10014","Martinez","Leila","07/11/1970","37/46 Kulas Roads, Maragondon 0962 Quirino","877-110-749","Payroll Rank and File","Regular","Salcedo, Anthony","27-2090996-4","515741057496","275-792-513-000","101205445886","24000.0","1500.0","500.0","500.0","12000.0","142.86"
"10015","Romualdez","Fredrick","03/10/1985","22A/52 Lubowitz Meadows, Pililla 4895 Zambales","023-079-009","Account Manager","Regular","Lim, Antonio","26-8768374-1","308366860059","598-065-761-000","223057707853","53500.0","1500.0","1000.0","1000.0","26750.0","318.45"
"10016","Mata","Christian","10/21/1987","90 O'Keefe Spur Apt. 379, Catigbian 2772 Sulu","783-776-744","Account Team Leader","Regular","Romualdez, Fredrick","49-2959312-6","824187961962","103-100-522-000","631052853464","42975.0","1500.0","800.0","800.0","21488.0","255.80"
"10017","De Leon","Selena","02/20/1975","89A Armstrong Trace, Compostela 7874 Maguindanao","975-432-139","Account Team Leader","Regular","Romualdez, Fredrick","27-2090208-8","587272469938","482-259-498-000","719007608464","41850.0","1500.0","800.0","800.0","20925.0","249.11"
"10018","San Jose","Allison","06/24/1986","08 Grant Drive Suite 406, Poblacion, Iloilo City 9186 La Union","179-075-129","Account Rank and File","Regular","Mata, Christian","45-3251383-0","745148459521","121-203-336-000","114901859343","22500.0","1500.0","500.0","500.0","11250.0","133.93"
"10019","Rosario","Cydney","10/06/1996","93A/21 Berge Points, Tapaz 2180 Quezon","868-819-912","Account Rank and File","Regular","Mata, Christian","49-1629900-2","579253435499","122-244-511-000","265104358643","22500.0","1500.0","500.0","500.0","11250.0","133.93"
"10020","Bautista","Mark","02/12/1991","65 Murphy Center Suite 094, Poblacion, Palayan 5636 Quirino","683-725-348","Account Rank and File","Regular","Mata, Christian","49-1647342-5","399665157135","273-970-941-000","260054585575","23250.0","1500.0","500.0","500.0","11625.0","138.39"
"10021","Lazaro","Darlene","11/25/1985","47A/94 Larkin Plaza Apt. 179, Poblacion, Caloocan 2751 Quirino","740-721-558","Account Rank and File","Probationary","Mata, Christian","45-5617168-2","606386917510","354-650-951-000","104907708845","23250.0","1500.0","500.0","500.0","11625.0","138.39"
"10022","Delos Santos","Kolby","02/26/1980","06A Gulgowski Extensions, Bongabon 6085 Zamboanga del Sur","739-443-033","Account Rank and File","Probationary","Mata, Christian","52-0109570-6","357451271274","187-500-345-000","113017988667","24000.0","1500.0","500.0","500.0","12000.0","142.86"
"10023","Santos","Vella","12/31/1983","99A Padberg Spring, Poblacion, Mabalacat 3959 Lanao del Sur","955-879-269","Account Rank and File","Probationary","Mata, Christian","52-9883524-3","548670482885","101-558-994-000","360028104576","22500.0","1500.0","500.0","500.0","11250.0","133.93"
"10024","Del Rosario","Tomas","12/18/1978","80A/48 Ledner Ridges, Poblacion, Kabankalan 8870 Marinduque","882-550-989","Account Rank and File","Probationary","Mata, Christian","45-5866331-6","953901539995","560-735-732-000","913108649964","22500.0","1500.0","500.0","500.0","11250.0","133.93"
"10025","Tolentino","Jacklyn","05/19/1984","96/48 Watsica Flats Suite 734, Poblacion, Malolos 1844 Ifugao","675-757-366","Account Rank and File","Probationary","De Leon, Selena","47-1692793-0","753800654114","841-177-857-000","210546661243","24000.0","1500.0","500.0","500.0","12000.0","142.86"
"10026","Gutierrez","Percival","12/18/1970","58A Wilderman Walks, Poblacion, Digos 5822 Davao del Sur","512-899-876","Account Rank and File","Probationary","De Leon, Selena","40-9504657-8","797639382265","502-995-671-000","210897095686","24750.0","1500.0","500.0","500.0","12375.0","147.32"
"10027","Manalaysay","Garfield","08/28/1986","60 Goyette Valley Suite 219, Poblacion, Tabuk 3159 Lanao del Sur","948-628-136","Account Rank and File","Probationary","De Leon, Selena","45-3298166-4","810909286264","336-676-445-000","211274476563","24750.0","1500.0","500.0","500.0","12375.0","147.32"
"10028","Villegas","Lizeth","12/12/1981","66/77 Mann Views, Luisiana 1263 Dinagat Islands","332-372-215","Account Rank and File","Probationary","De Leon, Selena","40-2400719-4","934389652994","210-395-397-000","122238077997","24000.0","1500.0","500.0","500.0","12000.0","142.86"
"10029","Ramos","Carol","08/20/1978","72/70 Stamm Spurs, Bustos 4550 Iloilo","250-700-389","Account Rank and File","Probationary","De Leon, Selena","60-1152206-4","351830469744","395-032-717-000","212141893454","22500.0","1500.0","500.0","500.0","11250.0","133.93"
"10030","Maceda","Emelia","04/14/1973","50A/83 Bahringer Oval Suite 145, Kiamba 7688 Nueva Ecija","973-358-041","Account Rank and File","Probationary","De Leon, Selena","54-1331005-0","465087894112","215-973-013-000","515012579765","22500.0","1500.0","500.0","500.0","11250.0","133.93"
"10031","Aguilar","Delia","01/27/1989","95 Cremin Junction, Surallah 2809 Cotabato","529-705-439","Account Rank and File","Probationary","De Leon, Selena","52-1859253-1","136451303068","599-312-588-000","110018813465","22500.0","1500.0","500.0","500.0","11250.0","133.93"
"10032","Castro","John Rafael","02/09/1992","Hi-way, Yati, Liloan Cebu","332-424-955","Sales & Marketing","Regular","Reyes, Isabella","26-7145133-4","601644902402","404-768-309-000","697764069311","52670.0","1500.0","1000.0","1000.0","26335.0","313.51"
"10033","Martinez","Carlos Ian","11/16/1990","Bulala, Camalaniugan","078-854-208","Supply Chain and Logistics","Regular","Reyes, Isabella","11-5062972-7","380685387212","256-436-296-000","993372963726","52670.0","1500.0","1000.0","1000.0","26335.0","313.51"
"10034","Santos","Beatriz","08/07/1990","Agapita Building, Metro Manila","526-639-511","Customer Service and Relations","Regular","Reyes, Isabella","20-2987501-5","918460050077","911-529-713-000","874042259378","52670.0","1500.0","1000.0","1000.0","26335.0","313.51"
"10036","Santos","Jose","01/25/1989","Culiat, Quezon City","1234567898765","Guard","Regular","Garcia, Manuel III","12345678903","234567876543","23456765432","3456765433345","20000.0","1000.0","1000.0","1000.0","10000.0","113.64"
